dt,program_title,device_name,country_code,product_type,unique_users,content_count
2018-10-01,Paradise Hotel Sverige,ios,se,svod,399,405
2018-10-01,Robinson Ekspeditionen,ios,dk,svod,370,374
2018-10-01,Paradise Hotel Sverige,pcdash,se,svod,308,316
2018-10-01,Robinson Ekspeditionen,pcdash,dk,svod,261,265
2018-10-01,Deadpool 2,pcdash,fi,tvod,242,242
2018-10-01,Paradise Hotel Sverige,atv,se,svod,242,253
2018-10-01,Deadpool 2,ps4xdk,fi,tvod,231,231
2018-10-01,Robinson Ekspeditionen,chromecast,dk,svod,227,231
2018-10-01,Deadpool 2,chromecast,se,tvod,205,205
2018-10-01,Deadpool 2,pcdash,no,tvod,201,201
2018-10-01,Love Island Norge,ios,no,svod,197,204
2018-10-01,Deadpool 2,pcdash,se,tvod,194,194
2018-10-01,Love Island Norge,atv,no,svod,190,196
2018-10-01,Love Island Norge,pcdash,no,svod,174,177
2018-10-01,Deadpool 2,ps4xdk,no,tvod,170,170
2018-10-01,Deadpool 2,androiddash,fi,tvod,163,163
2018-10-01,Robinson Ekspeditionen,atv,dk,svod,156,158
2018-10-01,Deadpool 2,pcdash,dk,tvod,156,156
2018-10-01,Paradise Hotel Sverige,chromecast,se,svod,150,154
2018-10-01,Til Middag Hos,ios,dk,svod,147,153
2018-10-01,Deadpool 2,ios,dk,tvod,147,147
2018-10-01,Deadpool 2,androiddash,se,tvod,146,146
2018-10-01,Deadpool 2,chromecast,dk,tvod,142,142
2018-10-01,Deadpool 2,ios,se,tvod,139,139
2018-10-01,Deadpool 2,ps4xdk,se,tvod,138,138
2018-10-01,Deadpool 2,ps4xdk,dk,tvod,137,137
2018-10-01,Til Middag Hos,pcdash,dk,svod,133,139
2018-10-01,Deadpool 2,chromecast,no,tvod,130,130
2018-10-01,Deadpool 2,ios,no,tvod,122,122
2018-10-01,PAW Patrol,atv,se,svod,114,133
2018-10-01,Peppa Pig,ios,dk,svod,113,188
2018-10-01,Til Middag Hos,chromecast,dk,svod,108,110
2018-10-01,The Fosters,ios,dk,svod,102,119
2018-10-01,Barclays Premier League Football Live,ios,se,svod,101,101
2018-10-01,Deadpool 2,androiddash,dk,tvod,98,98
2018-10-01,PAW Patrol,ios,se,svod,95,103
2018-10-01,PAW Patrol,chromecast,se,svod,92,129
2018-10-01,The Thundermans,ios,dk,svod,92,111
2018-10-01,Robinson Ekspeditionen,androiddash,dk,svod,90,91
2018-10-01,Forsidefruer,ios,dk,svod,88,91
2018-10-01,Ingen utan skuld,atv,se,svod,86,88
2018-10-01,Deadpool 2,androiddash,no,tvod,85,85
2018-10-01,Charterfeber,atv,no,svod,84,87
2018-10-01,Deadpool 2,chromecast,fi,tvod,84,84
2018-10-01,PAW Patrol,ios,dk,svod,84,91
2018-10-01,The Fosters,pcdash,dk,svod,83,98
2018-10-01,Love Island Norge,pchls,no,svod,81,82
2018-10-01,Paradise Hotel Sverige,androiddash,se,svod,79,81
2018-10-01,Robinson Ekspeditionen,pchls,dk,svod,79,80
2018-10-01,Paradise Hotel Sverige,ps4xdk,se,svod,78,82
2018-10-01,Coco,ios,dk,svod,77,77
2018-10-01,Victorious,ios,dk,svod,77,89
2018-10-01,Paradise Hotel Danmark,ios,dk,svod,76,84
2018-10-01,The Thundermans,ios,se,svod,75,92
2018-10-01,Barclays Premier League Football Live,pcdash,se,svod,74,74
2018-10-01,Paradise Hotel Sverige,pchls,se,svod,73,77
2018-10-01,Robinson Ekspeditionen,ps4xdk,dk,svod,72,72
2018-10-01,Peppa Pig,atv,se,svod,72,139
2018-10-01,Til Middag Hos,atv,dk,svod,72,74
2018-10-01,KHL,androiddash,fi,svod,71,71
2018-10-01,Forsidefruer,pcdash,dk,svod,69,73
2018-10-01,PAW Patrol,chromecast,dk,svod,67,102
2018-10-01,Familien fra Bryggen,ios,dk,svod,66,76
2018-10-01,Deadpool 2,ios,fi,tvod,66,66
2018-10-01,Love Island Norge,chromecast,no,svod,65,68
2018-10-01,Peppa Pig,ios,se,svod,64,112
2018-10-01,The Fosters,ios,no,svod,61,71
2018-10-01,iCarly,ios,dk,svod,60,66
2018-10-01,Peppa Pig,atv,dk,svod,59,126
2018-10-01,Peppa Pig,chromecast,dk,svod,58,147
2018-10-01,Solo: A Star Wars Story,pcdash,fi,tvod,58,58
2018-10-01,The Fosters,pcdash,no,svod,57,64
2018-10-01,Fireman Sam,atv,se,svod,57,84
2018-10-01,Blaze and the Monster Machines,atv,se,svod,56,60
2018-10-01,Ingen utan skuld,chromecast,se,svod,56,57
2018-10-01,Deadpool 2,samsung2017xdk,fi,tvod,56,56
2018-10-01,PAW Patrol,atv,no,svod,56,62
2018-10-01,South Park,pcdash,dk,svod,55,70
2018-10-01,Coco,ios,se,svod,54,54
2018-10-01,The Fosters,ios,se,svod,54,63
2018-10-01,Ingen utan skuld,ios,se,svod,53,53
2018-10-01,Family Guy,pcdash,se,svod,53,83
2018-10-01,Hånd i hånd,ios,dk,svod,52,53
2018-10-01,Deadpool 2,samsung2014xdk,se,tvod,52,52
2018-10-01,Family Guy,ios,se,svod,52,69
2018-10-01,South Park,pcdash,se,svod,52,78
2018-10-01,Luksusfælden,ios,dk,svod,51,55
2018-10-01,Victorious,ios,se,svod,51,60
2018-10-01,Deadpool 2,samsung2014xdk,no,tvod,50,50
2018-10-01,Paradise Hotel Danmark,pcdash,dk,svod,49,70
2018-10-01,Solo: A Star Wars Story,pcdash,no,tvod,49,49
2018-10-01,NCIS,ios,dk,svod,49,53
2018-10-01,Deadpool 2,samsung2015xdk,no,tvod,49,49
2018-10-01,Deadpool 2,samsung2017xdk,no,tvod,49,49
2018-10-01,Love Island Norge,ps4xdk,no,svod,48,51
2018-10-01,Robinson Ekspeditionen,samsung2017xdk,dk,svod,48,48
2018-10-01,Charterfeber,pcdash,no,svod,48,51
2018-10-01,Family Guy,pcdash,dk,svod,48,62
2018-10-01,iCarly,ios,se,svod,48,56
2018-10-01,Paradise Hotel Sverige,samsung2017xdk,se,svod,47,48
2018-10-01,Forsidefruer,chromecast,dk,svod,47,50
2018-10-01,Deadpool 2,samsung2016xdk,fi,tvod,47,47
2018-10-01,Til Middag Hos,pchls,dk,svod,47,48
2018-10-01,Robinson Ekspeditionen,samsung2016xdk,dk,svod,47,47
2018-10-01,PAW Patrol,androiddash,se,svod,47,55
2018-10-01,Scrubs,pcdash,se,svod,47,62
2018-10-01,Robinson Ekspeditionen,samsung2015xdk,dk,svod,47,48
2018-10-01,NCIS,pcdash,se,svod,46,53
2018-10-01,Henry Danger,ios,dk,svod,46,53
2018-10-01,Solo: A Star Wars Story,pcdash,se,tvod,45,45
2018-10-01,The Fosters,chromecast,dk,svod,45,58
2018-10-01,Askeladden - I Dovregubbens hall,pcdash,no,tvod,45,45
2018-10-01,The Good Doctor,ios,se,svod,45,48
2018-10-01,iCarly,ios,no,svod,44,51
2018-10-01,The Fosters,atv,no,svod,44,44
2018-10-01,Superliga Live,ios,dk,svod,44,44
2018-10-01,Big Time Rush,ios,dk,svod,44,55
2018-10-01,NCIS,ios,se,svod,44,48
2018-10-01,Deadpool 2,androidxdk,fi,tvod,44,44
2018-10-01,The Walking Dead,ios,dk,svod,44,48
2018-10-01,S.W.A.T.,atv,se,svod,44,45
2018-10-01,PAW Patrol,atv,dk,svod,44,57
2018-10-01,Luksusfælden,pcdash,dk,svod,43,46
2018-10-01,KHL,pcdash,fi,svod,43,43
2018-10-01,Love Island Norge,androiddash,no,svod,43,44
2018-10-01,Family Guy,atv,se,svod,43,50
2018-10-01,KHL,ios,fi,svod,43,43
2018-10-01,Barclays Premier League Football Live,atv,se,svod,43,43
2018-10-01,Family Guy,chromecast,se,svod,42,102
2018-10-01,Scrubs,ios,se,svod,42,54
2018-10-01,Ingen utan skuld,pcdash,se,svod,41,42
2018-10-01,The Thundermans,ios,no,svod,41,48
2018-10-01,NCIS,chromecast,dk,svod,41,46
