watched_time,genre,unique_users
0,Series Other,553
1,Series Other,463
2,Series Other,381
3,Series Other,344
4,Series Kids,638
5,Series Kids,948
6,Series Kids,607
7,Series Other,519
8,Series Other,538
9,Series Other,588
10,Movies Other,669
11,Series Other,692
12,Movies Other,697
13,Series Kids,886
14,Series Kids,1256
15,Series Kids,1513
16,Movies Other,1798
17,Movies Other,2679
18,Movies Other,3042
19,Movies Other,2385
20,Series Other,1674
21,Series Other,1262
22,Series Other,885
23,Series Other,617
